test push
//========================================
Theta Lambda Entropy UtilMaxVariance UtilTimeAvgVariance
0.150000 12 4.099810 0.001367 0.000001
0.200000 12 3.886952 0.001824 0.000001
0.250000 12 3.618976 0.002242 0.000001
0.300000 12 3.439240 0.002726 0.000002
0.350000 12 3.440490 0.003077 0.000002
0.400000 12 3.451751 0.003489 0.000002
0.450000 12 3.392893 0.003693 0.000002
0.500000 12 3.587939 0.003960 0.000002
0.550000 12 3.380351 0.003888 0.000002
0.600000 12 3.450196 0.004389 0.000003
0.650000 12 3.476114 0.004399 0.000003
0.700000 12 3.373843 0.004312 0.000003
0.750000 12 3.362453 0.004329 0.000003
0.800000 12 3.201359 0.004379 0.000003
0.850000 12 2.923553 0.004360 0.000003
0.900000 12 2.585277 0.004631 0.000003
0.950000 12 2.322970 0.004691 0.000003
0.000000 13 -2.000000 0.000009 0.000000
0.050000 13 -2.000000 0.000309 0.000000
0.100000 13 4.396162 0.000741 0.000001
0.150000 13 4.173556 0.001382 0.000001
0.200000 13 3.903604 0.001714 0.000001
0.250000 13 3.567135 0.002164 0.000001
0.300000 13 3.473244 0.002758 0.000001
0.350000 13 3.437905 0.003034 0.000002
0.400000 13 3.339440 0.003316 0.000002
0.450000 13 3.437845 0.003563 0.000002
0.500000 13 3.357847 0.003801 0.000002
0.550000 13 3.457379 0.004258 0.000002
0.600000 13 3.328403 0.004099 0.000003
0.650000 13 3.455207 0.004069 0.000003
0.700000 13 3.426923 0.004419 0.000003
0.750000 13 3.246897 0.004310 0.000003
0.800000 13 3.133963 0.004188 0.000003
0.850000 13 2.924809 0.004358 0.000003
0.900000 13 2.707503 0.004470 0.000003
0.950000 13 2.298959 0.004510 0.000003
0.000000 14 -2.000000 0.000005 0.000000
0.050000 14 4.364725 0.000179 0.000000
0.100000 14 4.369935 0.000724 0.000001
0.150000 14 4.211922 0.001323 0.000001
0.200000 14 3.938837 0.001407 0.000001
0.250000 14 3.551592 0.002113 0.000001
0.300000 14 3.407030 0.002590 0.000001
0.350000 14 3.378048 0.003099 0.000002
0.400000 14 3.301413 0.003211 0.000002
0.450000 14 3.281457 0.003361 0.000002
0.500000 14 3.392254 0.003860 0.000002
0.550000 14 3.390022 0.004113 0.000002
0.600000 14 3.361168 0.004122 0.000002
0.650000 14 3.350893 0.004209 0.000003
0.700000 14 3.397457 0.004225 0.000003
